title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs
"Condo For Sale in 1634, Florence Way, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/for-sale-3br-brand-new-fully-furnished-the-florence-luxury-mckinley-hill-ad-35-ln279452,"PHP 34,000,000","1634, Florence Way, Taguig, Metro Manila",,94.7 m²,3,3,Available from 27 Mar,,01 Dec 16:52,Housing I.,"['PHP 34,000,000', '1634, Florence Way, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '94.7 m²', 'Bathrooms:', '3', 'Available from:', '27 Mar']"
"Condo For Sale in A. Bonifacio Avenue, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/condo/unfurnished-2-br-unit-for-sale-in-the-celandine-ad-34-ln458677,"PHP 5,700,000","A. Bonifacio Avenue, Quezon City, Metro Manila",,48 m²,2,1,Available from 22 May,,01 Dec 16:52,Housing I.,"['PHP 5,700,000', 'A. Bonifacio Avenue, Quezon City, Metro Manila', 'Bedrooms:', '2', 'Area:', '48 m²', 'Bathrooms:', '1', 'Available from:', '22 May']"
"Condo For Sale in cor, 5th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/unfurnished-3-bedroom-for-sale-in-taguig-city-ad-33-ln633186,"PHP 44,000,000","cor, 5th Avenue, Taguig, Metro Manila",,155 m²,3,1,Available from 18 Oct,,01 Dec 16:52,Housing I.,"['PHP 44,000,000', 'cor, 5th Avenue, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '155 m²', 'Bathrooms:', '1', 'Available from:', '18 Oct']"
"Condo For Rent in 308, Sen. Gil J. Puyat Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2brs-unit-with-balcony-for-rent-at-the-lerato-ad-32-ln423420,"PHP 80,000/ month","308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200",,89 m²,2,1,Available from 10 Apr,,01 Dec 16:52,Housing I.,"['PHP 80,000/ month', '/ month', '308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200', 'Bedrooms:', '2', 'Area:', '89 m²', 'Bathrooms:', '1', 'Available from:', '10 Apr']"
"Condo For Rent in 6, Service Road, Pasay City",https://lifenavi.com/ph/properties/pasay-city/for-rent/condo/fully-furnisdhed-1-bedroom-unit-for-rent-in-pasay-ad-31-ln577706,"PHP 25,000/ month","6, Service Road, Pasay City, Metro Manila",,27 m²,1,1,Available from 27 Apr,,01 Dec 16:52,Housing I.,"['PHP 25,000/ month', '/ month', '6, Service Road, Pasay City, Metro Manila', 'Bedrooms:', '1', 'Area:', '27 m²', 'Bathrooms:', '1', 'Available from:', '27 Apr']"
"House and Lot For Sale in Parañaque, Metro Manila",https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/house-and-lot-for-sale-in-paranaque-ad-30-ln993073,"PHP 9,500,000","Parañaque, Metro Manila, 1700",,142 m²,4,2,Available from 3 May,,01 Dec 16:52,Housing I.,"['PHP 9,500,000', 'Parañaque, Metro Manila, 1700', 'Bedrooms:', '4', 'Area:', '142 m²', 'Bathrooms:', '2', 'Available from:', '3 May']"
"House and Lot For Sale in Greenwoods Avenue, Cainta",https://lifenavi.com/ph/properties/cainta/for-sale/house-and-lot/house-and-lot-for-sale-in-greenwoods-executive-village-ad-29-ln967851,"PHP 16,000,000","Greenwoods Avenue, Cainta, Metro Manila",,260 m²,5+,3,Available from 6 Oct,,01 Dec 16:52,Housing I.,"['PHP 16,000,000', 'Greenwoods Avenue, Cainta, Metro Manila', 'Bedrooms:', '5+', 'Area:', '260 m²', 'Bathrooms:', '3', 'Available from:', '6 Oct']"
"Condo For Rent in corner, 2nd Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/a-fully-furnished-2-bedroom-unit-for-rent-in-the-fort-residences-ad-28-ln985528,"PHP 65,000/ month","corner, 2nd Avenue, Taguig, Kalakhang Maynila, 1630",,72.14 m²,2,2,Available from 27 Oct,,01 Dec 16:52,Housing I.,"['PHP 65,000/ month', '/ month', 'corner, 2nd Avenue, Taguig, Kalakhang Maynila, 1630', 'Bedrooms:', '2', 'Area:', '72.14 m²', 'Bathrooms:', '2', 'Available from:', '27 Oct']"
"Condo For Rent in 147, Legazpi Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-1br-unit-with-balcony-at-greenbelt-hamilton-ad-27-ln872659,"PHP 45,000/ month","147, Legazpi Street, Legazpi Village, Makati City, Kalakhang Maynila",,41 m²,1,1,Available from 21 Jun,,01 Dec 16:52,Housing I.,"['PHP 45,000/ month', '/ month', '147, Legazpi Street, Legazpi Village, Makati City, Kalakhang Maynila', 'Bedrooms:', '1', 'Area:', '41 m²', 'Bathrooms:', '1', 'Available from:', '21 Jun']"
"Condo For Sale in 1634, McKinley Parkway, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/a-1-br-for-sale-in-two-serendra-ad-26-ln237550,"PHP 16,000,000","1634, McKinley Parkway, Taguig, Metro Manila",,61 m²,1,1,Available from 23 Jun,,01 Dec 16:52,Housing I.,"['PHP 16,000,000', '1634, McKinley Parkway, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '61 m²', 'Bathrooms:', '1', 'Available from:', '23 Jun']"
"Condo For Rent in 13, New Seaside Drive, Parañaque",https://lifenavi.com/ph/properties/paranaque/for-rent/condo/for-lease-1br-in-bayshore-2-ad-25-ln927457,"PHP 55,000/ month","13, New Seaside Drive, Parañaque, Metro Manila",,80 m²,1,1,Available from 8 May,,01 Dec 16:52,Housing I.,"['PHP 55,000/ month', '/ month', '13, New Seaside Drive, Parañaque, Metro Manila', 'Bedrooms:', '1', 'Area:', '80 m²', 'Bathrooms:', '1', 'Available from:', '8 May']"
"Condo For Rent in 2013, Chino Roces Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/a-modern-and-commodious-1br-unit-for-rent-at-the-beacon-ad-24-ln233598,"PHP 45,000/ month","2013, Chino Roces Avenue, Legazpi Village, Makati City, Metro Manila",,45 m²,1,1,Available from 4 May,,01 Dec 16:52,Housing I.,"['PHP 45,000/ month', '/ month', '2013, Chino Roces Avenue, Legazpi Village, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '45 m²', 'Bathrooms:', '1', 'Available from:', '4 May']"
"Condo For Rent in 191, Salcedo, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/semi-furnished-1-bedroom-for-lease-in-makati-city-ad-23-ln405688,"PHP 30,000/ month","191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229",,38 m²,1,1,Available from 16 Mar,,01 Dec 16:52,Housing I.,"['PHP 30,000/ month', '/ month', '191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229', 'Bedrooms:', '1', 'Area:', '38 m²', 'Bathrooms:', '1', 'Available from:', '16 Mar']"
"Condo For Rent in 308, Sen. Gil J. Puyat Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/a-fully-furnished-studio-unit-for-rent-in-the-lerato-ad-22-ln634936,"PHP 35,000/ month","308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200",,30 m²,Studio,1,Available from 8 Apr,,01 Dec 16:52,Housing I.,"['PHP 35,000/ month', '/ month', '308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200', 'Bedrooms:', 'Studio', 'Area:', '30 m²', 'Bathrooms:', '1', 'Available from:', '8 Apr']"
"Condo For Rent in 104, Rada, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-2br-condo-unit-at-frabella-1-makati-ad-21-ln305786,"PHP 80,000/ month","104, Rada, Legazpi Village, Makati City, Metro Manila, 1229",,150 m²,2,2,Available from 14 Sep,,01 Dec 16:52,Housing I.,"['PHP 80,000/ month', '/ month', '104, Rada, Legazpi Village, Makati City, Metro Manila, 1229', 'Bedrooms:', '2', 'Area:', '150 m²', 'Bathrooms:', '2', 'Available from:', '14 Sep']"
"Condo For Rent in 2867, East Zobel, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-studio-unit-in-knightsbridge-residences-for-rent-ad-20-ln566114,"PHP 28,000/ month","2867, East Zobel, Makati City, Metro Manila, 1208",,27.07 m²,Studio,1,Available from 18 Sep,,01 Dec 16:52,Housing I.,"['PHP 28,000/ month', '/ month', '2867, East Zobel, Makati City, Metro Manila, 1208', 'Bedrooms:', 'Studio', 'Area:', '27.07 m²', 'Bathrooms:', '1', 'Available from:', '18 Sep']"
"Condo For Rent in 28, Amorsolo Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-1-bedroom-for-lease-in-makati-city-ad-19-ln731322,"PHP 75,000/ month","28, Amorsolo Drive, Makati City, Metro Manila, 1210",,67 m²,1,1,Available from 5 May,,01 Dec 16:52,Housing I.,"['PHP 75,000/ month', '/ month', '28, Amorsolo Drive, Makati City, Metro Manila, 1210', 'Bedrooms:', '1', 'Area:', '67 m²', 'Bathrooms:', '1', 'Available from:', '5 May']"
"Condo For Sale in 10-C, Ayala Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/for-sale-4br-bi-level-in-pacific-plaza-ayala-ad-18-ln961267,"PHP 120,000,000","10-C, Ayala Avenue, Makati City, Metro Manila, 1200",,520 m²,4,1,Available from 13 Jun,,01 Dec 16:52,Housing I.,"['PHP 120,000,000', '10-C, Ayala Avenue, Makati City, Metro Manila, 1200', 'Bedrooms:', '4', 'Area:', '520 m²', 'Bathrooms:', '1', 'Available from:', '13 Jun']"
"Condo For Rent in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-3br-unit-in-proscenium-at-rockwell-ad-17-ln548979,"PHP 250,000/ month","Estrella, Makati City, Metro Manila",,245 m²,3,2,Available from 14 Aug,,01 Dec 16:52,Housing I.,"['PHP 250,000/ month', '/ month', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '245 m²', 'Bathrooms:', '2', 'Available from:', '14 Aug']"
"Condo For Rent in 4th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-3br-unit-with-parking-for-lease-in-pacific-plaza-towers-ad-16-ln123603,"PHP 300,000/ month","4th Avenue, Makati City, Metro Manila",,298 m²,3,1,Available from 7 Nov,,01 Dec 16:52,Housing I.,"['PHP 300,000/ month', '/ month', '4th Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '298 m²', 'Bathrooms:', '1', 'Available from:', '7 Nov']"
"Condo For Sale in corner, Diosdado Macapagal Boulevard, Pasay City",https://lifenavi.com/ph/properties/pasay-city/for-sale/condo/bare-2br-unit-for-sale-at-mi-casa-hawaii-tower-pasay-city-ad-15-ln603447,"PHP 19,490,000","corner, Diosdado Macapagal Boulevard, Pasay City, Metro Manila",,63.5 m²,2,1,Available from 15 Jul,,01 Dec 16:52,Housing I.,"['PHP 19,490,000', 'corner, Diosdado Macapagal Boulevard, Pasay City, Metro Manila', 'Bedrooms:', '2', 'Area:', '63.5 m²', 'Bathrooms:', '1', 'Available from:', '15 Jul']"
"House and Lot For Sale in 146, Panay Avenue, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/brand-new-4-storey-4-bedroom-townhouse-for-sale-in-panay-avenue-ad-14-ln995394,"PHP 33,000,000","146, Panay Avenue, Diliman, Quezon City, Metro Manila, 1100",,264 m²,4,5,Available from 24 Nov,,01 Dec 16:52,Housing I.,"['PHP 33,000,000', '146, Panay Avenue, Diliman, Quezon City, Metro Manila, 1100', 'Bedrooms:', '4', 'Area:', '264 m²', 'Bathrooms:', '5', 'Available from:', '24 Nov']"
"Condo For Rent in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-brand-new-2br-unit-in-proscenium-at-rockwell-ad-13-ln960388,"PHP 110,000/ month","Estrella, Makati City, Metro Manila",,96 m²,2,2,Available from 20 Apr,,01 Dec 16:52,Housing I.,"['PHP 110,000/ month', '/ month', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '96 m²', 'Bathrooms:', '2', 'Available from:', '20 Apr']"
"Condo For Rent in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-3br-unit-in-proscenium-at-rockwell-ad-12-ln701801,"PHP 280,000/ month","Estrella, Makati City, Metro Manila",,241 m²,3,2,Available from 10 Mar,,01 Dec 16:52,Housing I.,"['PHP 280,000/ month', '/ month', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '241 m²', 'Bathrooms:', '2', 'Available from:', '10 Mar']"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2-bedroom-unit-with-parking-balcony-for-rent-in-one-rockwell-ad-11-ln590658,"PHP 100,000/ month","Rockwell Drive, Makati City, Metro Manila",,106 m²,2,1,Available from 25 Nov,,01 Dec 16:52,Housing I.,"['PHP 100,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '106 m²', 'Bathrooms:', '1', 'Available from:', '25 Nov']"
"Condo For Rent in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-condo-unit-for-rent-in-prosceniumrockwell-ad-10-ln875687,"PHP 170,000/ month","Estrella, Makati City, Metro Manila",,136 m²,3,2,Available from 25 Nov,,01 Dec 16:51,Housing I.,"['PHP 170,000/ month', '/ month', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '136 m²', 'Bathrooms:', '2', 'Available from:', '25 Nov']"
"Condo For Rent in 130, L.P. Leviste Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/bare-3-bedroom-unit-for-rent-in-lpl-center-ad-9-ln298508,"PHP 200,000/ month","130, L.P. Leviste Street, Makati City, Metro Manila, 1227",,270 m²,3,3,Available from 1 Dec,,01 Dec 16:51,Housing I.,"['PHP 200,000/ month', '/ month', '130, L.P. Leviste Street, Makati City, Metro Manila, 1227', 'Bedrooms:', '3', 'Area:', '270 m²', 'Bathrooms:', '3', 'Available from:', '1 Dec']"
"Condo For Rent in 14F, West Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-2br-unit-in-park-terraces-ad-8-ln683036,"PHP 180,000/ month","14F, West Street, Makati City, Metro Manila",,164 m²,2,1,Available from 25 Nov,,01 Dec 16:51,Housing I.,"['PHP 180,000/ month', '/ month', '14F, West Street, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '164 m²', 'Bathrooms:', '1', 'Available from:', '25 Nov']"
"Condo For Sale in McKinley Hill Garden Villas, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/semi-furnished-3-bedroom-unit-with-parking-maids-room-for-sale-in-mckinley-hill-garden-villas-ad-7-ln584741,"PHP 27,000,000","McKinley Hill Garden Villas, Taguig, Metro Manila",,136 m²,3,3,Available from 26 Nov,,01 Dec 16:51,Housing I.,"['PHP 27,000,000', 'McKinley Hill Garden Villas, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '136 m²', 'Bathrooms:', '3', 'Available from:', '26 Nov']"
"House and Lot For Sale in 1119, Ayala Heights Drive, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/house-and-lot-for-sale-in-ayala-heights-ad-6-ln646446,"PHP 260,000,000","1119, Ayala Heights Drive, Quezon City, Metro Manila",,1100 m²,5+,5,Available from 27 Nov,,01 Dec 16:51,Housing I.,"['PHP 260,000,000', '1119, Ayala Heights Drive, Quezon City, Metro Manila', 'Bedrooms:', '5+', 'Area:', '1100 m²', 'Bathrooms:', '5', 'Available from:', '27 Nov']"
"House and Lot For Sale in Doña Julia Vargas Avenue, Pasig",https://lifenavi.com/ph/properties/pasig/for-sale/house-and-lot/house-and-lot-for-sale-in-valle-verde-4-ad-5-ln312574,"PHP 160,000,000","Doña Julia Vargas Avenue, Pasig, Metro Manila, 1604",,798 m²,3,3,Available from 28 Nov,,01 Dec 16:51,Housing I.,"['PHP 160,000,000', 'Doña Julia Vargas Avenue, Pasig, Metro Manila, 1604', 'Bedrooms:', '3', 'Area:', '798 m²', 'Bathrooms:', '3', 'Available from:', '28 Nov']"
"House and Lot For Sale in Bacoor, Calabarzon",https://lifenavi.com/ph/properties/bacoor/for-sale/house-and-lot/house-and-lot-for-sale-in-ayala-southvale-primera-ad-4-ln354326,"PHP 60,000,000","Bacoor, Calabarzon",,355 m²,3,3,Available from 28 Nov,,01 Dec 16:51,Housing I.,"['PHP 60,000,000', 'Bacoor, Calabarzon', 'Bedrooms:', '3', 'Area:', '355 m²', 'Bathrooms:', '3', 'Available from:', '28 Nov']"
"House and Lot For Rent in San Juan City, Metro Manila",https://lifenavi.com/ph/properties/san-juan-city/for-rent/house-and-lot/grand-4-storey-4-bedroom-townhouse-for-salerent-in-san-juan-ad-3-ln341625,"PHP 200,000/ month","San Juan City, Metro Manila",,300 m²,4,3,Available from 28 Nov,,01 Dec 16:51,Housing I.,"['PHP 200,000/ month', '/ month', 'San Juan City, Metro Manila', 'Bedrooms:', '4', 'Area:', '300 m²', 'Bathrooms:', '3', 'Available from:', '28 Nov']"
"Condo For Rent in Residential Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-3br-unit-in-luna-gardens-ad-2-ln558440,"PHP 260,000/ month","Residential Drive, Makati City, Metro Manila",,247 m²,3,2,Available from 1 Sep,,01 Dec 16:51,Housing I.,"['PHP 260,000/ month', '/ month', 'Residential Drive, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '247 m²', 'Bathrooms:', '2', 'Available from:', '1 Sep']"
"Condo For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/two-central-2-bedroom-2br-condo-for-sale-in-makati-city-ln794252,"PHP 17,000,000","Makati City, Metro Manila",,106 m²,2,2,Available from 30 Nov,,30 Nov 17:39,Grace L.,"['PHP 17,000,000', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '106 m²', 'Bathrooms:', '2', 'Available from:', '30 Nov']"
"Condo For Sale in 191, Salcedo, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/the-rise-for-sale-1-bedroom-1br-condo-in-makati-ln941692,"PHP 5,500,000","191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229",,28 m²,1,1,Available from 30 Nov,,30 Nov 17:36,Grace L.,"['PHP 5,500,000', '191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229', 'Bedrooms:', '1', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Condo For Sale in Dela Rosa Access Road 3, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-for-sale-in-makati-city-kroma-tower-ln474736,"PHP 11,000,000","Dela Rosa Access Road 3, Makati City, Metro Manila",,59 m²,1,1,Available from 30 Nov,,30 Nov 17:34,Grace L.,"['PHP 11,000,000', 'Dela Rosa Access Road 3, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '59 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Condo For Sale in Chino Roces Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/paseo-de-roces-1-bedroom-condo-for-sale-in-makati-city-ln999215,"PHP 5,107,800","Chino Roces Avenue, Makati City, Metro Manila",,44 m²,1,1,Available from 30 Nov,,30 Nov 17:31,Grace L.,"['PHP 5,107,800', 'Chino Roces Avenue, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '44 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Condo For Sale in Epifanio de los Santos Avenue, Mandaluyong City",https://lifenavi.com/ph/properties/mandaluyong-city/for-sale/condo/fully-renovated-modern-3br-loft-penthouse-with-expansive-spa-ln527648,"PHP 14,000,000","Epifanio de los Santos Avenue, Mandaluyong City, Metro Manila",,108 m²,3,2,Available from 30 Nov,,30 Nov 17:29,Melissa M.,"['PHP 14,000,000', 'Epifanio de los Santos Avenue, Mandaluyong City, Metro Manila', 'Bedrooms:', '3', 'Area:', '108 m²', 'Bathrooms:', '2', 'Available from:', '30 Nov']"
"House and Lot For Sale in Antipolo, Calabarzon",https://lifenavi.com/ph/properties/antipolo/for-sale/house-and-lot/4br-house-for-sale-sun-valley-residential-ln601585,"PHP 50,000,000","Antipolo, Calabarzon, 1870",,493 m²,4,6+,Available from 30 Nov,,30 Nov 17:19,Grace L.,"['PHP 50,000,000', 'Antipolo, Calabarzon, 1870', 'Bedrooms:', '4', 'Area:', '493 m²', 'Bathrooms:', '6+', 'Available from:', '30 Nov']"
"Condo For Sale in 3, Eisenhower Street, San Juan City",https://lifenavi.com/ph/properties/san-juan-city/for-sale/condo/1-bedroom-condo-for-sale-in-san-juan-city-ln381634,"PHP 13,450,000","3, Eisenhower Street, Greenhills, San Juan City, Metro Manila, 1502",,53 m²,1,1,Available from 30 Nov,,30 Nov 17:15,Grace L.,"['PHP 13,450,000', '3, Eisenhower Street, Greenhills, San Juan City, Metro Manila, 1502', 'Bedrooms:', '1', 'Area:', '53 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Condo For Sale in Pasay City, Metro Manila",https://lifenavi.com/ph/properties/pasay-city/for-sale/condo/for-sale-3-bedroom-condo-in-the-parkside-villas-at-pasay-ln225513,"PHP 11,000,000","Pasay City, Metro Manila",,57 m²,3,2,Available from 30 Nov,,30 Nov 17:11,Grace L.,"['PHP 11,000,000', 'Pasay City, Metro Manila', 'Bedrooms:', '3', 'Area:', '57 m²', 'Bathrooms:', '2', 'Available from:', '30 Nov']"
"Condo For Rent in 544, The Grass Residences, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-rent/condo/condo-unit-for-rent-27th-floor-tower-5-at-grass-residences-ln386309,"PHP 15,000/ month","544, The Grass Residences, Bago Bantay, Quezon City, Metro Manila, 1105",,21 m²,1,1,Available from 30 Nov,,30 Nov 16:59,Armien C.,"['PHP 15,000/ month', '/ month', '544, The Grass Residences, Bago Bantay, Quezon City, Metro Manila, 1105', 'Bedrooms:', '1', 'Area:', '21 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Condo For Sale in cor, V.A. Rufino Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/eton-tower-makati-1-bedroom-condo-unit-for-sale-ln873797,"PHP 7,500,000","cor, V.A. Rufino Street, Makati City, Metro Manila",,38 m²,1,1,Available from 30 Nov,,30 Nov 16:51,Grace L.,"['PHP 7,500,000', 'cor, V.A. Rufino Street, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '38 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Commercial land For Sale in Antipolo, Calabarzon",https://lifenavi.com/ph/properties/antipolo/for-sale/commercial-land/320-sqm-lot-for-sale-at-mission-hills-in-rizal-ln640020,"PHP 8,000,000","Antipolo, Calabarzon, 1870",,320 m²,,,Vacant,Unfurnished,30 Nov 16:43,Grace L.,"['PHP 8,000,000', 'Antipolo, Calabarzon, 1870', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '320 m²', 'Available from:', '30 Nov']"
"House and Lot For Sale in J.P. Rizal, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/house-and-lot/3br-house-and-lot-for-sale-in-quezon-city-ln958636,"PHP 38,000,000","J.P. Rizal, Quezon City, Metro Manila",,350 m²,3,4,Available from 30 Nov,,30 Nov 16:31,Grace L.,"['PHP 38,000,000', 'J.P. Rizal, Quezon City, Metro Manila', 'Bedrooms:', '3', 'Area:', '350 m²', 'Bathrooms:', '4', 'Available from:', '30 Nov']"
"Condo For Sale in 1634, Florence Way, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/1-br-condo-for-sale-in-taguig-ln574741,"PHP 11,300,000","1634, Florence Way, Taguig, Metro Manila",,43 m²,1,1,Available from 30 Nov,,30 Nov 16:26,Grace L.,"['PHP 11,300,000', '1634, Florence Way, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '43 m²', 'Bathrooms:', '1', 'Available from:', '30 Nov']"
"Warehouse For Sale in 1001, Tayuman Street, Manila",https://lifenavi.com/ph/properties/manila/for-sale/warehouse/industrial-lot-with-3-storey-warehouse-for-sale-in-tondo-ln897253,"PHP 135,000,000","1001, Tayuman Street, Tondo, Manila, Metro Manila",,700 m²,,,Vacant,Semi-Furnished,30 Nov 16:22,Grace L.,"['PHP 135,000,000', '1001, Tayuman Street, Tondo, Manila, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '700 m²', 'Available from:', '30 Nov']"
"Industrial building For Sale in 1001, Tayuman Street, Manila",https://lifenavi.com/ph/properties/manila/for-sale/entire-building/10-storey-commercial-building-for-sale-in-tondo-manila-ln162188,"PHP 85,000,000","1001, Tayuman Street, Tondo, Manila, Metro Manila",,1900 m²,,,Vacant,Semi-Furnished,30 Nov 16:18,Grace L.,"['PHP 85,000,000', '1001, Tayuman Street, Tondo, Manila, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '1900 m²', 'Available from:', '30 Nov']"
"Commercial land For Sale in Valenzuela, Metro Manila",https://lifenavi.com/ph/properties/valenzuela/for-sale/commercial-land/expansive-industrial-lot-for-sale-in-valenzuela-city-ln543387,"PHP 891,270,000","Valenzuela, Metro Manila",,10000 m²,,,Vacant,Unfurnished,30 Nov 16:13,Grace L.,"['PHP 891,270,000', 'Valenzuela, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '10000 m²', 'Available from:', '30 Nov']"
"Commercial land For Sale in Malabon, Metro Manila",https://lifenavi.com/ph/properties/malabon/for-sale/commercial-land/extensive-industrial-lot-for-sale-in-santulan-malabon-ln573549,"PHP 585,195,000","Malabon, Metro Manila",,9003 m²,,,Vacant,Unfurnished,30 Nov 16:02,Grace L.,"['PHP 585,195,000', 'Malabon, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '9003 m²', 'Available from:', '30 Nov']"
"Condo For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/avida-towers-asten-two-studio-unit-condo-for-sale-in-makati-ln886456,"PHP 4,000,000","Makati City, Metro Manila",,22 m²,2,2,Available from 30 Nov,,30 Nov 15:58,Grace L.,"['PHP 4,000,000', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '22 m²', 'Bathrooms:', '2', 'Available from:', '30 Nov']"
"Any commercial For Sale in Quezon City, Metro Manila",https://lifenavi.com/ph/properties/quezon-city/for-sale/hotel-apartment/income-generating-5-unit-apartment-for-sale-in-cubao-qc-ln343582,"PHP 120,000,000","Cubao, Quezon City, Metro Manila",,524 m²,,,Vacant,Semi-Furnished,30 Nov 15:52,Grace L.,"['PHP 120,000,000', 'Cubao, Quezon City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '524 m²', 'Available from:', '30 Nov']"
