title,price,location,description,link
"2 BEDROOMS WITH BALCONY FOR SALE IN THE COLUMNS AYALA TOWER 2, MAKATI","PHP 13,400,000","6821 Ayala Ave, Makati, 1209 Metro Manila",2BR with balcony and parking,
KATIPUNAN AVENUE PROPERTY FOR SALE,PHP NAN,"Katipunan Avenue, Loyola Heights, QC",Property along Katipunan Ave.,
"2BR CONDOMINIUM FOR SALE IN FORT VICTORIA, TAGUIG","PHP 18,500,000",Taguig,"- 2 Bedrooms - 1 BR with walk-in closet - 3 Toilet and bath - Unit spans 2 floors - Includes 5 split Air conditioning units - Facing pool view - Floor area: 91 SQM - Price: Php 18,500,000",
"1,749 SQM LAND FOR SALE - ORTIGAS CENTER","PHP 1,395,478,722.66","Ortigas Ave. and Sapphire Road, Ortigas, Pasig","1,749 Sqm Land for Sale - Ortigas Center",
STA. MARIA BULACAN (6.8 HA),"PHP 82,344,000","Bulac, Sta. Maria, Bulacan","Land for sale in Sta. Maria, Bulacan",
"2BR CONDOMINIUM FOR SALE IN ICON RESIDENCES, BGC, TAGUIG","PHP 27,880,000","De Jesus Oval, Taguig City",2 Bedrooms with 1 Parking,
FELINA CORPORATE PLAZA EASTWOOD,"PHP 3,000,000,000,000","Strategically located in the heart of Eastwood City, Quezon City, Felina Corporate Plaza is a modern 12-storey, PEZA-accredited boutique office building developed by Felina Properties Inc. Designed to foster creativity and collaboration, it offers state-of-the-art amenities and a prime address for businesses, particularly those in the BPO sector. Tenants benefit from its integration within the vibrant live-work-play community of Eastwood, providing unparalleled access to a wide array of dining, retail, and lifestyle conveniences right at their doorstep.","Strategically located in the heart of Eastwood City, Quezon City, Felina Corporate Plaza is a modern 12-storey, PEZA-accredited boutique office building developed by Felina Properties Inc. Designed to foster creativity and collaboration, it offers state-of-the-art amenities and a prime address for businesses, particularly those in the BPO sector. Tenants benefit from its integration within the vibrant live-work-play community of Eastwood, providing unparalleled access to a wide array of dining, retail, and lifestyle conveniences right at their doorstep.",
"54 IFUGAO STREET, LA VISTA","PHP 639,060,000","54 Ifugao Street, La Vista, Quezon City","along Ifugao Street, La Vista Subdivison",
"3BR CONDOMINIUM FOR SALE IN SENTA RESIDENCES, MAKATI","PHP 50,000,000",Makati,"A furnished bi-level penthouse condominium unit with 3 bedrooms for sale in Senta Residences, Makati with a floor area of 188.7 SQM. This unit has 2 parking spaces, a family area, powder room, storage room, maid's room, an unobstructed view of the Manila Bay, and overlooking Legazpi park. This unit is priced at Php 50,000,000 plus VAT.",
DESIGNER HOUSE AND LOT IN TALI BEACH,"PHP 125,000,000","Tali Beach Drive, Tali Beach Subdivision, Balaytigue, Nasugbu",Modern design in a beach setting,
"2BR CONDOMINIUM FOR SALE IN FORT PALM SPRING, TAGUIG","PHP 17,000,000","30th 1st Ave, Taguig, Metro Manila",2BR with parking,
"3BR CONDOMNIUM FOR SALE IN OAK HARBOR RESIDENCES, PARAÑAQUE","PHP 52,474,108","Marina Bay, Jackson Avenue, Paranaque",3BR Penthouse unit,
"3-STOREY UNIT IN AVILION GARDENS, PARAÑAQUE","PHP 11,040,000","Cluster 7, Egypt And Guatemala St., Brgy. Don Bosco, Parañaque",3-Storey Unit,
"2 BEDROOMS FOR SALE IN ELIZABETH PLACE, MAKATI","PHP 14,300,000","332 Sen. Gil J. Puyat Ave, Makati, Metro Manila",2BR with balcony,
5BR HOUSE AND LOT FOR SALE IN GREEN MEADOWS AVE. QUEZON CITY,"PHP 225,000,000",Green Meadows Ave.,5 Bedroom with en-suite bathroom,
1.7 HECTARE LOT IN THE HEART OF MANILA,"PHP 1,370,250,002","Tanque Street, Paco Manila",1.7 Hectare commercial/mixed use lot,
"1BR CONDOMINIUM FOR SALE IN MORGAN SUITES EXECUTIVE RESIDENCES, TAGUIG","PHP 6,800,000","1634 Florence Wy, Taguig, Metro Manila",1 Bedroom,
"4BR H&L - SAMAT, AYALA ALABANG","PHP 350,000,000","Samat, Ayala Alabang Village","4BR H&L for sale - Samat, Ayala Alabang",
"2BR CONDOMINIUM FOR SALE IN ILLUMINA RESIDENCES MANILA, MANILA","PHP 5,000,000",Manila,"An unfurnished 2 bedroom condominium unit for sale in Illumina Residences Manila, Manila with a floor area of 57 SQM priced at Php 5,000,000.",
1BR CONDOMINIUM FOR SALE IN JAZZ RESIDENCES,4000000,"Nicanor Garcia, Makati City, Metro Manila",1 Bedroom furnished unit in Jazz Residences,
DAVAO ACACIA,"PHP 329,000,000","Acacia, Buhangin, Davao City",13 has raw land in Davao,
"41 HECTARES IN MT. MAKILING, STO. TOMAS, BATANGAS","PHP 619,428,000","Brgy. San Miguel, Sto. Tomas, Batangas",Raw land,
"LOT FOR SALE IN DASMARIÑAS VILLAGE, MAKATI CITY","PHP 450,000,000",Sampaguita St. Dasmariñas Village,Residential Lot,
910 SQM TALI BEACH LOT,"PHP 16,000,000","Marine Drive, Tali beach Subdivsion, Nasugbu Batangas",Vacant Beach Lot In prime subdivision,
"1BR CONDOMINIUM FOR SALE IN SHANG RESIDENCES WACK WACK, MANDALUYONG","PHP 26,000,000",Mandaluyong,"An unfurnished 1 bedroom condominium unit with 1 parking space for sale in Shang Residences Wack Wack, Mandaluyong with a floor area of 84.89 SQM, priced at Php 26,000,000.",
"2BR CONDOMINIUM FOR SALE IN MOSAIC TOWER, MAKATI","PHP 21,000,000","Trasierra, Legazpi Village, Makati","2 bedrooms, 2 bathrooms, maid's quarter with CR",
"1BR CONDOMINIUM FOR SALE IN THE ARTON BY ROCKWELL, QUEZON CITY","PHP 12,140,000","Aurora Blvd. cor. Katipunan Ave, Quezon City",1BR with Balcony,
"GOVERNOR'S DRIVE, DASMARIÑAS PROPERTY FOR SALE","PHP 101,280,000","Governor's Drive, Dasmariñas City",Commercial Lot,
ONE ROCKWELL - 2BR UNIT (97 SQM) FOR SALE,"PHP 29,000,000","One Rockwell West Tower, Rockwell Center, Makati",2BR 2TB Unit at One Rockwell,
CATTLEYA GARDENS,"PHP 19,000,000","C. Palanca St., Legazpi Village Makati",2 BR condominium,
"1 BEDROOM WITH BALCONY FOR SALE IN VENICE LUXURY RESIDENCES TOWER B (BELLINI), TAGUIG","PHP 11,952,000","Venezia Drive, Brgy. Pinagsama, Taguig City",1BR with balcony,
AYALA ALABANG - 4BR HOUSE & LOT FOR SALE,"PHP 275,000,000","Bunga Street, Ayala Alabang",4BR H&L - Ayala Alabang,
FERNANDO POE JR. AVENUE PROPERTY FOR SALE,"PHP 407,700,000","Fernando Poe Jr. Avenue corner Pat Senador, Quezon City","Commercial lot along Roosevelt Avenue, QC",
"STUDIO CONDOMINIUM UNIT FOR SALE IN THE KNIGHTSBRIDGE RESIDENCES, MAKATI","PHP 4,200,000",Makati,"An unfurnished studio condominium unit for sale in The Knightsbridge Residences, Makati with a floor area of 28.91 SQM. This unit is priced at Php 4,200,000 plus VAT.",
"3 HA BEACHFRONT PROPERTY FOR SALE BUSUANGA, PALAWAN","PHP 169,683,258","Brgy. Cheey, Busuanga, Palawan",3 HA Beachfront Property,
"3BR CONDOMINIUM FOR SALE IN ONE ROXAS TRIANGLE, MAKATI","PHP 120,000,000","Cruzada St, Makati City",3 Bedrooms with den,
"OFFICE FLOOR IN SALCEDO VILLAGE, MAKATI FOR SALE","PHP 66,164,250","2nd Floor, The Athenaeum Condominum, L.P Leviste Street, Salcedo Village, Makati City",Office Floor for Sale,
NASUGBU BATANGAS - 10.7 HA LAND FOR SALE,"PHP 144,857,169","Magallanes-Nasugbu Road, Brgy. Putat, Nasugbu, Batangas",Nasugbu Batangas - 10.7 Ha Land for Sale,
APNTS,PHP 897,"Asia-Pacific Nazarene Theological Seminary, Ortigas Avenue Extension Kaytikling, Taytay","4.4 Hectare property for JV along Ortigas Ave Extension., Kaytikling, Rizal",
"CAINTA RIZAL - 7,987 SQM","PHP 159,740,000","Suburban Drive, Brgy. San Juan, Cainta, Rizal","Cainta Rizal - 7,987 sqm",
"2BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, TAGUIG","PHP 5,240,000","Acacia Estates, Taguig, Metro Manila",2BR with balcony,
"3 BEDROOMS FOR SALE IN CEDAR CREST CONDOMINIUM AMARANTH BLDG, TAGUIG","PHP 9,100,000","Acacia Ave, Acacia Estate, Taguig, Metro Manila",3BR with balcony and parking,
30-KEY HOTEL FOR SALE IN TAGBILARAN BOHOL,"PHP 348,416,290","Tagbilaran, Bohol",30-Key Hotel,
"4BR HOUSE AND LOT FOR SALE IN TAGAYTAY MIDLANDS, BATANGAS","PHP 30,000,000","Tanauan, Batangas",4BR 2-storey house with den,
"2 BEDROOMS FOR SALE IN OHANA PLACE RESIDENCES LANAI BLDG, LAS PIÑAS","PHP 432,000,000","1742 Alabang–Zapote Rd, Almanza Uno, Las Piñas, Metro Manila",2BR with balcony,
LARGE PROPERTY ALONG QUIRINO HIGHWAY,"PHP 1,663,508,000","Quirino Highway Bgy 179, Novaliches Caloocan City","4 street frontages along Quirino Highway, Banaba St., Mangga St. and HV dela Costa",
"1.3 HECTARES IN COMMONWEALTH, QUEZON CITY","110,000","Brgy. Commonwealth, Quezon City",1.3 hectares vacant lot,
OFFICE SPACE FOR SALE - RUFINO PACIFIC TOWER,"PHP 33,000,000","Rufino Pacific Tower, Ayala cor. Rufino, Makati",along Ayala Avenue cor. Rufino,
"1BR CONDOMINIUM FOR SALE IN ONE ROCKWELL EAST TOWER, MAKATI","PHP 28,000,000",Makati,"A furnished 1 bedroom loft type condominium unit with 1 parking space for sale in One Rockwell East, Makati with a floor area of 70 SQM, priced at Php 28,000,000.",
"4BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 300,000,000","Ayala Alabang Village, Barangay Ayala Alabang, Muntinlupa City",4BR with Family Room & Office or Gym,
"BONI SERRANO, QUEZON CITY - VACANT LOT",PHP 1,"Col. Bonny Serrano Avenue, New Manila, Quezon City",Commercial Lot,
1BR UNIT IN CIRCUIT MAKATI,"PHP 12,375,000","Solstice Tower 1, Circuit Makati, Brgy. Carmona, Makati","1BR, amenity floor",
"4BR HOUSE AND LOT FOR SALE IN NLC TOWNHOMES, MANILA","PHP 15,400,000",Manila,"An unfurnished 4 bedroom 3-storey house and lot for sale in NLC Townhouse, Manila, with 1 parking space and a floor area of 123.61 SQM and a lot area of 50.35 SQM. The house and lot is priced at Php 15,400,000.",
"2 HAS. - OBRERO, NUEVA ECIJA LOT","PHP 30,000,000","Obrero, Cabanatuan",,
"3BR CONDOMINIUM FOR SALE IN SHANG RESIDENCES WACK WACK, MANDALUYONG","PHP 47,000,000",Wack Wack Rd. Mandaluyong City,"3 Bedrooms with ensuite bath, MBR with tub, Living Room and MBR with balcony, Main kitchen and service kitchen, Maid's room with CR, Semi Furnished, 1 parking slot",
SAN JOSE DEL MONTE BULACAN PROPERTY,30000,"Paradise Village, Tungkong Mangga, SJDM Bulacan",Property in San Jose Del Monte Bulacan,
"4BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 163,000,000","Maria Cristina Ayala Alabang Village, Muntinlupa",4 Bedroom with swimming pool,
"ILAYA STREET, TONDO","PHP 288,000,000","941 Ilaya Street, Tondo, Manila","Ilaya Street, Tondo, Manila",
"STUDIO FOR SALE IN THE LERATO TOWER 1, MAKATI","PHP 5,900,000","7232 Malugay, Brgy, Makati, Kalakhang Maynila",Studio,
2BR UNIT IN CIRCUIT MAKATI,"PHP 15,008,929","Solstice Tower 1, Circuit Makati, Brgy. Carmona, Makati","2BR corner unit, amenity floor",
"2 BEDROOM UNIT W/ PARKING FOR SALE IN PARAGON PLAZA, MANDALUYONG",PHP 10,"Corner Reliance St., EDSA, Mandaluyong City",2 Bedroom Unit with Parking | 3 T&B | Maid's Room,
"1BR CONDOMINIUM FOR SALE IN COAST RESIDENCES, PASAY","PHP 6,600,000","Roxas Blvd, Pasay","Semi Furnished with A/C, Refrigerator and Microwave 1 Toilet & Bath with water heater. No parking",
"1BR CONDOMINIUM FOR SALE IN SEA RESIDENCES, PASAY","PHP 5,415,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with balcony,
TWIN SHORES,"PHP 773,470,000","Malinao, Siargao Island, Surigao Del Norte",Beachfront Lot for sale,
"6,633 SQM - COMMERCIAL PROPERTY - E. RODRIGUEZ, MONTE DE PIEDAD, QUEZON CITY","PHP 1,326,600,000","E. Rodriguez, Monte de Piedad, Quezon City","6,633 SQM - Commercial Property - E. Rodriguez, Monte de Piedad, Quezon City",
"2435 SQM BEACHFRONT PROPERTY FOR SALE IN PANGLAO, BOHOL","PHP 110,305,500","Brgyy. Bil-Isan, Panglao, Bohol","2,435 sqm. beach front with 55-meter frontage",
"2 BEDROOMS WITH BALCONY FOR SALE IN THE RISE, MAKATI","PHP 15,600,000","7248 Malugay, Makati, 1203 Kalakhang Maynila",2BR with balcony,
"2.1 HECTARES BEACHFRONT PROPERTY FOR SALE IN PUERTO PRINCESA CITY, PALAWAN","PHP 286,116,000","BM Road Brgy. San Manuel, Puerto Princesa City, Palawan, Philippines",Property along BM Beach,
"LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 109,223,000","Palico St. Ayala Alabang Village, Muntinlupa",Vacant Lot for Sale,
"STUDIO CONDOMINIUM UNIT FOR SALE IN THE KNIGHTSBRIDGE RESIDENCES, MAKATI","PHP 4,200,000",Makati,"An unfurnished studio condominium unit for sale in The Knightsbridge Residences, Makati with a floor area of 27.12 SQM. This unit is priced at Php 4,200,000 plus VAT.",
"5BR HOUSE AND LOT FOR SALE IN BF HOMES, PARANAQUE","PHP 45,000,000","Adelita Chioco, VF ACRHA, Barangay BF Homes","4 Bedrooms upstairs, each with ensuite bathroom | 1 Bedroom on the ground floor (ideal for seniors or a study/den) | with a full bathroom | MBR with walk-in closet, private balcony (2 balconies total on the second floor) | Spacious living and dining areas | Guest powder room | Separate large storage room | Two first-class kitchens (main and everyday kitchens)",
MAJAYJAY PROPERTY,"PHP 6,400,000","A Bonifacio cor. P Zamora St., Majayjay, Laguna",Commercial Property,
"CORAL TREE RESIDENCES, CARMONA, CAVITE",68138.4573,"361 South Road, Binan, Laguna",Dorm property with ground floor retail for sale near Southwoods,
"9-10 BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA CITY","PHP 398,000,000","Lauan St. Ayala Alabang Village, Muntinlupa City",9-10 Bedroom H&L with Swimming Pool,
"3 BR FOR SALE IN GREENBELT CHANCELLOR, MAKATI","PHP 23,770,000","112 Rada, Legazpi Village, Makati, 1229 Metro Manila",3BR with 1 parking slot,
"1 BEDROOM FOR SALE IN THE GREENBELT PARKPLACE, MAKATI CITY","PHP 6,630,000","112 Don Carlos Palanca, Legazpi Village, Makati, 1229 Metro Manila",1BR,
"2BR CONDOMINIUM FOR SALE IN TWO SERENDRA, BGC, TAGUIG","PHP 26,350,000","1634 McKinley Pkwy, Taguig, Metro Manila",2BR with balcony and parking,
"2 BEDROOMS LOFT FOR SALE IN THE FORT RESIDENCES, TAGUIG","PHP 17,552,500","30th Street, corner 2nd Ave, Taguig, 1630 Metro Manila",2BR Loft Type,
"4BR HOUSE AND LOT FOR SALE IN TAGAYTAY MIDLANDS, BATANGAS","PHP 250,000,000","Tanauan, Batangas",2-storey house with lower ground floor,
"4BR HOUSE FOR SALE IN SOUTHWOODS RESIDENTIAL ESTATES, CARMONA, CAVITE","PHP 35,000,000","Carmona, Cavite",4 Bedroom 2-storey house,
3BR UNIT (205SQM) AT GRAND HYATT SOUTH TOWER,"PHP 98,000,000","35th Street cor. 8th Avenue, Bonifacio Global City",205 sqm 3BR corner unit,
TALI BEACH HOUSE AND LOT,"PHP 150,000,000","Tali Beach Drive, Nasugbu, Batangas",House And Lot,
HILLSBOROUGH ALABANG 2 LOTS FOR SALE,"PHP 100,000,000","Nos 7 & 9 Worcester St., Hillsborough Alabang Village, Muntinlupa City","Hillsborough Alabang Village Blk 2 lot 12 Phase 1 No. 7 Worcester St. 400 sqm Hillsborough Alabang Village Blk 2 lot 10 Phase 1 No. 9 Worcester St., 400 sqm",
"STILES OFFICE - 1,421 SQM 12/F","PHP 269,990,000",Stiles Enterprise Plaza West Tower - 12/F,Whole office floor,
"LOT FOR SALE IN SOLIENTO, NUVALI","PHP 23,630,000","Brgy Canlubang, Calamba Laguna",Lot Only,
"3BR CONDOMINIUM FOR SALE IN CBY TOWER, MANILA","PHP 12,853,200",Manila,"A semi-furnished 3 bedroom condominium for sale in CBY Tower, Manila, with a floor area of 107.11 SQM, priced at Php 12,853,000. This property has a living room with a balcony, own toilet and bath for the Master’s bedroom, and maid’s room with CR.",
JAKOSALEM ST. CEBU,"PHP 120,000,000","Jakosalem St. , Cebu City","House and Lot for Sale along Jakosalem St. , Cebu City",
"BRENTWOOD VILLAGE, BAGUIO HOUSE FOR SALE","PHP 40,000,000",84 Brentwood Village,Baguio house for sale,
"1,050 SQM FULLY TENANTED INCOME-GENERATING PROPERTY FOR SALE ON MACARTHUR HIGHWAY, MALABON CITY","240,000","67 MacArthur Hwy, Malabon, 1275 Metro Manila",Income-Generating Property for Sale,
"3 BEDROOMS WITH BALCONY FOR SALE IN TWO SERENDRA BELIZE TOWER, TAGUIG","PHP 38,530,000","1634 McKinley Pkwy, Taguig, Metro Manila",3BR with balcony and 1 parking slot,
"28 HA BEACHFRONT PROPERTY FOR SALE IN PANGLAO, BOHOL","PHP 7,196,200,000","Brgy. Danao, Panglao, Bohol",28-has with 900-meter beach frontage,
"1 BEDROOM WITH BALCONY FOR SALE IN SEA RESIDENCES CONDOMINIUM BLDG D, PASAY","PHP 5,415,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with balcony,
BPI-PHILAM LIFE ALABANG,"PHP 77,139,998","Alabang-Zapote Road, Madrigal Business Park, Muntinlupa City",Office Unit for Sale,
"1BR CONDOMINIUM FOR SALE IN THE KNIGHTSBRIDGE RESIDENCES, MAKATI","PHP 4,200,000",Makati,"An unfurnished condominium unit for sale in The Knightsbridge Residences, Makati with a floor area of 27.12 SQM. This unit is priced at Php 4,200,000 plus VAT.",
"1BR CONDOMINIUM FOR SALE IN VERTIS NORTH, QUEZON CITY","PHP 15,250,000","North Avenue, Quezon City",1 Bedroom Unfurnished No parking,
"10,215 SQM COMMERCIAL PROPERTY FOR SALE - CORAL WAY AVENUE, PARAÑAQUE CITY","PHP 2,142,456,190","Coral Way Avenue, Pasay City",Commercial lot along Coral Way Avenue,
2BR CONDOMINIUM FOR SALE IN THE RISE MAKATI,"PHP 14,500,000","7248 Malugay, Street, Makati",2 Bedroom with balcony,
"1BR CONDOMINIUM FOR SALE IN THE GRAMERCY RESIDENCES, MAKATI","PHP 9,250,000",Makati,"An unfurnished 1 bedroom condominium unit for sale in The Gramercy Residences, Makati with a floor area of 46.06 SQM priced at Php 9,250,000 plus VAT.",
"3BR CONDOMINIUM FOR SALE IN ESSENSA EAST FORBES, BGC, TAGUIG","PHP 95,000,000","21st Dr, Taguig",3 Bedrooms with ensuite bathroom. Maid's room with own CR. Service kitchen with service entrance.,
5996 SQM WATERFRONT PROPERTY FOR SALE IN DAUIS BOHOL,"PHP 208,910,407","Brgy. Bingag, Dauis, Panglao Island, Bohol",113 meter water frontage,
"7BR HOUSE AND LOT FOR SALE IN LINDENWOOD RESIDENCES, MUNTINLUPA","PHP 65,000,000",Muntinlupa,"A furnished 7 bedroom house and lot with 2 parking spaces for sale in Lindenwood Residences, Muntinlupa. This 3-storey property has a lot area of 450 SQM and a floor area of approximately 750 SQM, priced at Php 65,000,000. This property has 7.5 baths, a heated swimming pool & jacuzzi, solar panels, a generator that can power 3 master bedrooms, lots of outdoor space, a maid's room with toilet and bath, driver's quarters with toilet & bath.",
2BR CONDOMINIUM FOR SALE IN BONIFACIO RIDGE CONDOMINIUM IN TAGUIG,"PHP 35,000,000",Taguig,"A furnished 2 Bedroom condominium unit for sale in Bonifacio Ridge Condominium, Taguig, with a floor area of 113 SQM, and a golf course and swimming pool view. This property has 2 tandem parking spaces, 3 toilets and baths, with bath tub and centralized hot water, a servant's quarter, laundry room. This unit is sold at Php 35,000,000, and can be leased for Php 120,000 per month (inclusive of dues).",
"1BR CONDOMINIUM FOR SALE IN THE GRAMERCY RESIDENCES, MAKATI","PHP 9,250,000",Makati,"An unfurnished condominium unit for sale in The Gramercy Residences, Makati with a floor area of 40.21 SQM priced at Php 9,250,000 plus VAT.",
"1BR CONDOMINIUM FOR SALE IN FORBESWOOD HEIGHTS, BGC, TAGUIG","PHP 9,500,000","Rizal Drive, Taguig",1 Bedroom with 1 Parking Slot,
"2,354 SQM WAREHOUSE/RESIDENTIAL PROPERTY FOR SALE IN PASIG",70000,486 Santos Sumilang Pasig,"2,354 sqm Warehouse/Residential Property for Sale in Pasig",
"1 BEDROOM FOR SALE IN GRAND MIDORI, MAKATI CITY","PHP 10,460,000","160 Legazpi Street, Legazpi Village, Makati, 1229 Kalakhang Maynila",1BR,
"LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 1,000,000,000","Ayala Alabang Village, Muntinlupa",Lot for Sale in AAV,
"3BR CONDOMINIUM FOR SALE IN PROSCENIUM AT ROCKWELL, MAKATI","PHP 90,000,000",Makati,"A semi-furnished 3 bedroom condominium with 2 parking spaces for sale in Proscenium at Rockwell, Makati with a floor area of 224 SQM. This unit is priced at Php 90,000,000.",
"4BR HOUSE AND LOT FOR SALE IN AYALA ALABANG, MUNTINLUPA","PHP 140,000,000",Muntinlupa,"A furnished 4 bedroom house and lot for sale in Ayala Alabang, Muntinlupa, with a lot area of 669 SQM and a floor area of approximately 350 SQM, priced at Php 140,000,000 plus VAT. This property has 1 den with a toilet and bath, maid and driver’s room with toilet and bath, swimming pool with toilet and bath, and solar heater for water.",
3BR CONDOMINIUM FOR SALE IN SHANG RESIDENCES WACK WACK,"PHP 39,000,000","Wack Wack Rd, Mandaluyong","Living room with balcony, All bedrooms with ensuite bathroom, Master’s bedroom with walk-in closet and balcony, Maid's room with own CR",
ROBINSON'S CIRCLE LOT,"PHP 137,280","Robinson's Circle, Pasig City",511 sqm overlooking lot within Robinson's circle subdivision,
"2BR CONDOMINIUM FOR SALE IN MCKINLEY PARK RESIDENCES, BGC, TAGUIG","PHP 22,500,000","31st Street, Taguig City",2 Bedroom loft type furnished unit,
"1 BEDROOM WITH BALCONY FOR SALE IN FLAIR TOWERS CONDOMINIUM SOUTH TOWER, MANDALUYONG","PHP 6,395,000","Reliance, Pines, Mandaluyong, 1550 Metro Manila",1BR with balcony and parking,
FORBES PARK - PILI AVENUE,"PHP 1,591,200,000","Pili Avenue, Forbes Park South, Makati",Residential Property for Sale,
"6BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 200,000,000","Ayala Alabang Village, Muntinlupa",6 Bedroom 2 Storey House,
"4 BEDROOMS FOR SALE IN FORBESWOOD HEIGHTS, BGC, TAGUIG","PHP 22,780,000","Forbeswood Heights, Forbestown Road, Taguig, Metro Manila",4 Bedroom combined units and parking,
"FOR SALE: RESIDENTIAL CONDOMINIUM IN LEGAZPI VILLAGE, MAKATI","900,000","110 Amorsolo Street, Legazpi Village, Makati",Residential condominium with 28 units,
PENTHOUSE OAK HARBOR RESIDENCES,"PHP 36,155,000","PH-02 Oak Harbor Residences, Aston Towe4, Jackson Ave., Asiaworld City, Paranaque City","Oak Harbor Aston Tower PH-02, 125 sqm 11th floor Penthouse 3 Bedroom Loft SEast, Seaview Maids w T&B No balcony 1 Parking Semi furnished 36,155,000 Php Incl CGT & 3% Broker Fee",
"2,656 SQM - COMMERCIAL PROPERTY FOR SALE - BROADWAY AVENUE, MARIANA, QUEZON CITY","PHP 451,520,000","Broadway Avenue, Quezon City",Commercial Property,
"4BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 132,500,000","Ayala Alabang Village, Muntinlupa St.","4BR House and Lot for Sale in Ayala Alabang Village, Muntinlupa Lot Area: 630 sqm Floor Are: 900 sqm 4 Bedrooms 4 car garage Unfurnished High ceiling living room, Enclosed dining MBR with lanai and bathtub Maid’s room Centralized water heater, Pool, Garden Beside Palms Pointe",
50-KEY HOTEL WITH COMMERCIAL SPACES FOR SALE,"PHP 495,000,000","Abano St., Baguio City",50-Key Hotel,
6BR HOUSE AND LOT FOR SALE IN MISSION HILLS AT HAVILA,"PHP 101,124,000","Havila Mahabang Parang, 1870, Antipolo",6 Bedrooms | 6 Bathrooms | 1 Powder Room | 7 car garage | Bar & Lanai | Mezzanine Gym | Swimming Pool | Laundry Room | Dirty Kitchen | Garden | Maid's Quarters | Driver's Quarters | Back and Front Garden | Office Room,
"VACANT LOT FOR SALE IN TIMBELAND HEIGHTS, SAN MATEO, RIZAL","PHP 39,000,000","San Mateo, Rizal",Vacant Lot,
"1BR CONDOMINIUM FOR SALE IN ONE GATEWAY PLACE, MANDALUYONG","PHP 4,251,600",Mandaluyong,"An unfurnished 1 bedroom condominium unit with 1 toilet and bath for sale in One Gateway Place Condo, Mandaluyong. This unit has a floor area of 47.24 SQM, priced at Php 4,251,600",
"2 BEDROOMS FOR SALE IN MIREA RESIDENCES MAIA BLDG, PASIG","PHP 5,080,000","Eulogio Amang Rodriguez Ave, Pasig, 1800 Metro Manila",2BR with balcony,
MACAPAGAL BOULEVARD PROPERTY,"PHP 4,760,000,000","Macapagal Boulevard, Pasay City",Commercial lot along Macapagal Blvd,
"4BR HOUSE AND LOT FOR SALE IN TAGAYTAY MIDLANDS, PLANTATION HILLS, BATANGAS","PHP 34,000,000","Parsley St. Tanuan, Batangas","2-storey house, 4 Bedroom, 4 T&B, MBR with bathtub, 1 powder room, Den with CR",
"1 BEDROOM WITH BALCONY FOR SALE IN SEA RESIDENCES CONDOMINIUM BLDG D, PASAY","PHP 5,415,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with balcony,
"4 BEDROOMS FOR SALE IN ONE GATEWAY PLACE CONDO, MANDALUYONG","PHP 14,059,000","Robinsons Pioneer Complex, Pioneer St, Mandaluyong, 1550 Metro Manila",4BR with balcony,
"3BR CONDOMINIUM FOR SALE IN PACIFIC PLAZA TOWERS, TAGUIG","PHP 100,000,000",Taguig,"A 3 bedroom condominium unit for sale in Pacific Plaza Towers, Taguig with a floor area of 305 SQM, priced at Php 100,000,000. This property has 1 den, 4 toilets and baths, powder room, and a maid's room. This unit is tenanted until September 2027.",
"1.8 HA BEACH LOT FOR SALE IN ANDA, BOHOL","PHP 270,744,344","Barangay Bacong, Anda, Bohol","10,879 sqm. land near Cabagnow Cave",
"1BR CONDOMINIUM FOR SALE IN THE PARKSIDE VILLAS, PASAY","PHP 7,937,500","Sales Rd, Newport, Pasay, 1309 Metro Manila",1BR with balcony and parking,
"6BR HOUSE AND LOT FOR SALE IN TOKYO MANSIONS, SOUTH FORBES, CAVITE","PHP 50,000,000","Shibuya Drive, Tokyo Mansions, South Forbes, Silang, Cavite","3-storey house, 6 Bedrooms with 7 bathrooms plus maid's room with own bathroom and driver's room with own bathroom, Master's bedroom with Jacuzzi, Balcony on MBR, Family Area and 3rd Floor Bedroom",
"PENINSULA AVE., PUNTA FUEGO HOUSE","PHP 170,000,000","71 Peninsula Ave., Punta Fuego","Brand new 6BR ensuite T&B House along Peninsula Ave., Punta Fuego.",
"4BR HOUSE AND LOT FOR SALE IN SUN VALLEY RESIDENTIAL, ANTIPOLO","PHP 26,800,000","Antipolo, Rizal","An unfurnished 4 bedroom house and lot for sale in Sun Valley Residential, Antipolo, Rizal with 2 parking spaces, 5 toilets and bath, a lot area of 300 SQM, and a floor area of 247.5 SQM, priced at Php 26,800,000.",
